DIC,TPN,HCO3,TN,Mg,Si,TP,TSSD,Na,TOC,UV280,TDS,Fe,SO4,CO3,UV250,specificConductance,TDP,NO3NO2,Cl,NH4,K,PH,NO2,OrthoP,Mn,TPC,DOC,F,ANC,TDN,Ca,Br,TSS
65.7,0.1,264.2,0.2,24.8,33.5,0,100,30.9,3.3,0.1,330.9,0,9.5,0,0.1,470.2,0,-0.1,4.7,0,11.3,8.1,0.1,0.2,0,0.3,3.4,1.6,5,0.3,20.9,0,2
67.7,0.1,265.4,0.3,25.5,34.7,0,200,31.8,3.7,0.1,339.5,0,10.1,0,0.1,485.9,0,-0.1,4,0,11.8,8.1,0.1,0.1,0,0.3,3.4,3.2,4.8,0.3,21.3,0,4
63.5,0.1,321.2,0.3,17,22.1,0,700,18.7,3.4,0.1,391.3,0,6.2,0,0.1,557.2,0,-0.1,4.4,0.1,7.2,8.1,0.1,0.2,0,0.4,3.2,0.7,5.8,0.3,62.5,0,14
71.5,0.1,347.3,0.3,18.5,23.4,0.1,0,20.5,3.9,0.1,4270.2,0,6.7,0,0.1,6110.5,0,0,6.9,0.1,8,8.1,0,0,0,0.4,3.2,1.4,5.8,0.3,69.3,0,0
69.2,0.1,338.2,0.3,17.6,22.8,0.1,416.7,19.6,3.7,0,411.8,0,6.8,0,0.1,590.8,0,0,3.7,0.1,7.8,7.9,0,0.1,0,0.3,3.6,0.8,6,0.3,67.5,0,8.3
69.7,0.1,318.5,0.3,17.5,22,0.1,200,21.4,6.6,0.1,409,0,5.3,0,0.2,577.4,0,-0.1,10.3,0.1,8.2,8.1,-0.1,0,0,0.4,5.3,2.8,5.6,0.3,63.2,0,4
70.3,0.1,322.7,0.3,17.2,22.3,0.1,200,20.7,4.8,0.1,402,0,4.5,0,0.2,570.4,0,-0.1,4.3,0.1,7.6,8.1,-0.1,0,0,0.4,4.9,2.9,5.9,0.3,63.3,4,4
71.3,0.1,317.3,0.3,18.5,22.7,0,200,23,5,0.1,378.2,0,3.5,0,0.2,538.9,0,0,3.8,0,8.5,8.2,-0.1,0,0,0.3,4.9,0,5.7,0.3,52.3,0,4
72.6,0.2,328.5,0.3,19.1,24,0.1,200,23.8,5.7,0.1,394.9,0,3,0,0.2,562.3,0,-0.1,4.8,0,8.7,8.1,-0.1,0,0,0.4,5.7,0.3,6,0.3,55.2,0,4
73,0.1,352.1,0.3,18.5,22.5,0.2,100,21.1,6,0.1,414.6,0,2.7,0,0.2,591.4,0,-0.1,2.3,0,8.1,8,-0.1,0,0,0.3,6.3,0.3,6,0.3,64.7,0,2
73.3,0.1,342,0.4,17.8,21,0.1,300,21.6,5.7,0.1,401.1,0,3,0,0.2,571.6,0,0,1.9,0,8,8.1,-0.1,0,0,0.3,5.7,0,5.6,0.3,61.7,0,6
75.5,0.1,243.3,0.3,17.2,20.1,0.1,100,19.1,6.5,0.1,383.5,0,60.2,0,0.2,546.1,0,-0.1,5.8,0,7.5,8.2,-0.1,0,0,0.3,6.4,0.5,4.8,0.3,59.9,0,2
69.4,0.1,321.5,0.4,17.8,18.9,0.1,100,20.2,6.1,0.1,390.1,0,2.1,0,0.2,557,0,-0.1,7,0,7.8,8,-0.1,0,0,0.3,6.4,0.2,5.5,0.3,59.6,0,2
75.5,0.1,329,0.4,18.2,19.9,0,200,20.1,5.2,0.1,393.5,0,3.1,0,0.2,560.2,0,-0.1,4.2,0,7.5,7.7,-0.1,0,0,0.3,5.3,0.1,5.7,0.3,60.1,0,4
78,0.1,337.5,0.3,17.7,21.1,0,300,21.9,6.1,0.2,407.2,0,4.6,0,0.3,580.3,0,0,5,0,8.2,7.5,0,0,0,0.4,5.7,0.6,5.7,0.3,63.1,0,6
