agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,max_va_yr,max_va,min_va_yr,min_va,mean_va,p05_va,p10_va,p20_va,p25_va,p50_va,p75_va,p80_va,p90_va,p95_va
5s,15s,5s,11n,3n,3n,6n,6n,8n,5n,12s,5n,12s,12s,12s,12s,12s,12s,12s,12s,12s,12s,12s
USGS,9510200,60,5732,5,30,2016,2020,5,2020,1.48,2016,0,0.37,,,0,0,0,0.92,1.3,,
USGS,9510200,60,5732,5,31,2016,2020,5,2020,1.31,2016,0,0.32,,,0,0,0,0.79,1.1,,
USGS,9510200,60,5732,6,1,2016,2020,5,2020,1.29,2016,0,0.3,,,0,0,0,0.76,1.1,,
USGS,9510200,60,5732,6,2,2016,2020,5,2020,1.21,2016,0,0.28,,,0,0,0,0.7,1,,
USGS,9510200,60,5732,6,3,2016,2020,5,2020,1.11,2016,0,0.25,,,0,0,0,0.63,0.92,,
USGS,9510200,60,5732,6,4,2016,2020,5,2020,1.05,2016,0,0.24,,,0,0,0,0.59,0.87,,
USGS,9510200,60,5732,6,5,2016,2020,5,2020,1.21,2016,0,0.27,,,0,0,0,0.67,0.99,,
USGS,9510200,60,5732,6,6,2016,2020,5,2020,1.26,2016,0,0.28,,,0,0,0,0.69,1,,
USGS,9510200,60,5732,6,7,2016,2020,5,2020,1.09,2016,0,0.24,,,0,0,0,0.6,0.9,,
USGS,9510200,60,5732,6,8,2016,2020,5,2020,0.9,2016,0,0.21,,,0,0,0,0.52,0.75,,
USGS,9510200,60,5732,6,9,2016,2020,5,2020,0.78,2016,0,0.18,,,0,0,0,0.44,0.64,,
USGS,9510200,60,5732,6,10,2016,2020,5,2020,0.79,2016,0,0.19,,,0,0,0,0.47,0.66,,
USGS,9510200,60,5732,6,11,2016,2020,5,2020,0.67,2016,0,0.16,,,0,0,0,0.39,0.56,,
USGS,9510200,60,5732,6,12,2016,2020,5,2020,0.55,2016,0,0.13,,,0,0,0,0.33,0.46,,
USGS,9510200,60,5732,6,13,2016,2020,5,2020,0.48,2016,0,0.12,,,0,0,0,0.29,0.41,,
USGS,9510200,60,5732,6,14,2016,2020,5,2020,0.45,2016,0,0.11,,,0,0,0,0.28,0.38,,
USGS,9510200,60,5732,6,15,2016,2020,5,2020,0.44,2016,0,0.11,,,0,0,0,0.27,0.37,,
USGS,9510200,60,5732,6,16,2016,2020,5,2020,0.44,2016,0,0.1,,,0,0,0,0.26,0.37,,
USGS,9510200,60,5732,6,17,2016,2020,5,2020,0.38,2016,0,0.1,,,0,0,0,0.24,0.32,,
USGS,9510200,60,5732,6,18,2016,2020,5,2020,0.36,2016,0,0.09,,,0,0,0,0.23,0.31,,
USGS,9510200,60,5732,6,19,2016,2020,5,2020,0.35,2016,0,0.09,,,0,0,0,0.21,0.3,,
USGS,9510200,60,5732,6,20,2016,2020,5,2020,0.31,2016,0,0.07,,,0,0,0,0.18,0.26,,
USGS,9510200,60,5732,6,21,2016,2020,5,2020,0.3,2016,0,0.07,,,0,0,0,0.18,0.25,,
USGS,9510200,60,5732,6,22,2016,2020,5,2020,0.27,2016,0,0.07,,,0,0,0,0.17,0.23,,
USGS,9510200,60,5732,6,23,2016,2020,5,2020,0.23,2016,0,0.06,,,0,0,0,0.15,0.2,,
USGS,9510200,60,5732,6,24,2016,2020,5,2020,0.2,2016,0,0.05,,,0,0,0,0.14,0.17,,
